LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Lagos State, Ikorodu",Toyota Corolla 2010 Black,"5,460,000",Local Used,236448 km,Automatic
"Lagos State, Ikeja",Toyota Corolla 2005 Red,"4,641,000",Local Used,465155 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Corolla CE 2007 Gray,"7,875,000",Local Used,329903 km,Automatic
"Lagos State, Yaba",Kia Rio 2014 Silver,"4,725,000",Local Used,81911 km,Automatic
"Lagos State, Amuwo-Odofin",Chevrolet Cruze 2012 Teal,"8,400,000",Foreign Used,290839 km,Manual
"Abuja (FCT), Jabi",Lexus IS 2014 White,"21,630,000",Foreign Used,205335 km,Automatic
"Edo State, Benin City",Honda Pilot 2005 Black,"3,375,000",Local Used,126585 km,Automatic
"Oyo State, Ibadan",Honda Accord 2003 Gold,"2,373,000",Local Used,259525 km,Automatic
"Oyo State, Ibadan",Honda Accord 2003 Blue,"5,200,000",Local Used,411172 km,Automatic
"Abuja (FCT), Karu",Toyota Camry 1998 Gold,"2,912,000",Local Used,235421 km,Automatic
"Lagos State, Lekki",Toyota Land Cruiser Prado 2021 Black,"78,000,000",Local Used,4365 km,Automatic
"Abuja (FCT), Garki 2",Mercedes-Benz E350 2010 Gray,"13,520,000",Local Used,268214 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2001 Gold,"3,640,000",Local Used,141989 km,Automatic
"Lagos State, Alimosho",Infiniti FX35 2008 Blue,"4,200,000",Local Used,456679 km,Automatic
"Lagos State, Alimosho",Lexus RX 350 2015 Brown,"24,990,000",Foreign Used,309702 km,Automatic
"Rivers State, Port-Harcourt",Honda City 2012 Gray,"2,625,000",Local Used,281437 km,Automatic
"Lagos State, Ogba",Toyota Corolla 2010 Silver,"10,500,000",Foreign Used,244609 km,Automatic
"Lagos State, Surulere",Toyota Corolla 2005 Red,"3,822,000",Local Used,407510 km,Automatic
"Rivers State, Port-Harcourt",Mercedes-Benz GLA-Class 2015 Black,"19,125,000",Local Used,222766 km,Automatic
"Lagos State, Abule Egba",Ford Edge 2013 Silver,"6,100,237",Local Used,161962 km,Automatic
"Abuja (FCT), Wuse",Toyota Fortuner 2013 Black,"14,700,000",Local Used,85233 km,Automatic
"Lagos State, Surulere",Nissan Almera 2013 Silver,"6,300,000",Local Used,110418 km,Automatic
"Abuja (FCT), Jabi",Honda Accord Crosstour 2012 Black,"8,840,000",Local Used,123069 km,Automatic
"Abuja (FCT), Jabi",Toyota Camry 2018 Gray,"26,000,000",Local Used,108353 km,Automatic
"Lagos State, Abule Egba",Toyota RAV4 2002 Silver,"4,680,000",Local Used,101575 km,Automatic
"Lagos State, Abule Egba",Lexus ES 2008 Gold,"9,880,000",Local Used,95055 km,Automatic
"Oyo State, Ibadan",Mazda 323 1998 Red,"4,935,000",Foreign Used,144787 km,Automatic
"Oyo State, Ibadan",Dodge RAM 2013 Blue,"19,950,000",Foreign Used,303611 km,Automatic
"Oyo State, Ibadan",Hyundai Sonata 2015 Gray,"15,750,000",Foreign Used,156942 km,Automatic
"Abuja (FCT), Karu",Toyota Carina 1992 Gray,"2,625,000",Local Used,345213 km,Automatic
"Lagos State, Yaba",Nissan Pathfinder 2002 Black,"2,520,000",Local Used,382215 km,Automatic
